#batch_size = 10 | epochs = 40
#seed | (countHitsMotif, countHitsBackground, countMaxValueInMotifRange, avgDiff, mapDiff)
36 | (243, 254, 182, 1.49,  {0: 0, 1: 134, 2: 27, 3: 82, 4: 0, 5: 0, 6: 13, 7: 0, 8: 0, 9: 2, 10: 0})
37 | (280, 257, 277, 0.45,  {0: 182, 1: 55, 2: 40, 3: 0, 4: 0, 5: 0, 6: 0, 7: 0, 8: 0, 9: 2, 10: 0})
38 | (278, 267, 286, 3.02,  {0: 90, 1: 0, 2: 0, 3: 0, 4: 87, 5: 106, 6: 0, 7: 0, 8: 3, 9: 1, 10: 0})
39 | (274, 260, 285, 3.25,  {0: 0, 1: 55, 2: 0, 3: 94, 4: 41, 5: 95, 6: 0, 7: 1, 8: 0, 9: 0, 10: 0})
40 | (248, 248, 274, 3.64,  {0: 0, 1: 38, 2: 0, 3: 43, 4: 118, 5: 1, 6: 73, 7: 0, 8: 2, 9: 1, 10: 0})
41 | (279, 270, 291, 3.02,  {0: 0, 1: 0, 2: 90, 3: 93, 4: 104, 5: 0, 6: 0, 7: 0, 8: 4, 9: 0, 10: 0})
42 | (276, 273, 261, 1.69,  {0: 104, 1: 14, 2: 63, 3: 0, 4: 93, 5: 0, 6: 0, 7: 0, 8: 3, 9: 1, 10: 0})
43 | (285, 258, 282, 2.69,  {0: 0, 1: 44, 2: 42, 3: 110, 4: 85, 5: 0, 6: 0, 7: 1, 8: 2, 9: 0, 10: 0})
44 | (271, 268, 278, 1.67,  {0: 97, 1: 50, 2: 38, 3: 0, 4: 92, 5: 0, 6: 0, 7: 1, 8: 1, 9: 0, 10: 0})
45 | (274, 245, 278, 1.9,   {0: 94, 1: 0, 2: 87, 3: 0, 4: 95, 5: 0, 6: 0, 7: 0, 8: 1, 9: 1, 10: 0})
46 | (272, 276, 287, 0.98,  {0: 96, 1: 89, 2: 102, 3: 0, 4: 0, 5: 0, 6: 0, 7: 0, 8: 0, 9: 0, 10: 0})
47 | (279, 247, 288, 3.05,  {0: 0, 1: 35, 2: 92, 3: 56, 4: 0, 5: 105, 6: 0, 7: 0, 8: 0, 9: 1, 10: 0})
48 | (273, 264, 287, 0.96,  {0: 91, 1: 104, 2: 92, 3: 0, 4: 0, 5: 0, 6: 0, 7: 0, 8: 0, 9: 1, 10: 0})
49 | (268, 272, 280, 2.37,  {0: 40, 1: 101, 2: 0, 3: 43, 4: 0, 5: 96, 6: 0, 7: 1, 8: 0, 9: 1, 10: 0})
50 | (282, 286, 293, 2.97,  {0: 97, 1: 0, 2: 0, 3: 0, 4: 93, 5: 102, 6: 0, 7: 0, 8: 1, 9: 0, 10: 0})
51 | (270, 264, 273, 2.92,  {0: 0, 1: 0, 2: 101, 3: 51, 4: 86, 5: 35, 6: 0, 7: 0, 8: 2, 9: 1, 10: 0})
52 | (272, 279, 290, 2.52,  {0: 0, 1: 152, 2: 0, 3: 43, 4: 0, 5: 95, 6: 0, 7: 1, 8: 0, 9: 1, 10: 0})
53 | (279, 282, 286, 2.14,  {0: 103, 1: 61, 2: 0, 3: 0, 4: 30, 5: 92, 6: 0, 7: 0, 8: 2, 9: 0, 10: 0})
54 | (273, 280, 288, 1.95,  {0: 95, 1: 0, 2: 97, 3: 0, 4: 94, 5: 0, 6: 0, 7: 0, 8: 2, 9: 0, 10: 0})
55 | (0, 300, 15, 0.35,     {0: 0, 1: 6, 2: 0, 3: 3, 4: 5, 5: 2, 6: 9, 7: 7, 8: 5, 9: 4, 10: 0})
56 | (266, 278, 265, 2.46,  {0: 69, 1: 0, 2: 39, 3: 0, 4: 146, 5: 0, 6: 6, 7: 0, 8: 5, 9: 1, 10: 0})
57 | (285, 255, 280, 2.74,  {0: 0, 1: 104, 2: 46, 3: 0, 4: 57, 5: 43, 6: 30, 7: 0, 8: 1, 9: 0, 10: 0})
58 | (275, 250, 273, 2.45,  {0: 0, 1: 61, 2: 78, 3: 58, 4: 35, 5: 41, 6: 1, 7: 0, 8: 1, 9: 0, 10: 0})
59 | (277, 268, 287, 2.83,  {0: 0, 1: 97, 2: 0, 3: 99, 4: 0, 5: 91, 6: 0, 7: 0, 8: 0, 9: 0, 10: 0})
60 | (274, 282, 291, 2.8,   {0: 104, 1: 0, 2: 0, 3: 0, 4: 95, 5: 92, 6: 0, 7: 0, 8: 2, 9: 0, 10: 0})
61 | (278, 243, 270, 2.58,  {0: 45, 1: 0, 2: 37, 3: 93, 4: 60, 5: 34, 6: 0, 7: 1, 8: 2, 9: 0, 10: 0})
