#batch_size = 10 | epochs = 40
#seed | (countHitsMotif, countHitsBackground, countMaxValueInMotifRange, avgDiff, mapDiff)
162 | (272, 263, 290, 2.94, {0: 0, 1: 0, 2: 95, 3: 91, 4: 103, 5: 0, 6: 0, 7: 0, 8: 1, 9: 0, 10: 0})
163 | (281, 254, 280, 2.67, {0: 0, 1: 51, 2: 71, 3: 49, 4: 102, 5: 0, 6: 0, 7: 3, 8: 4, 9: 0, 10: 0})
164 | (292, 280, 289, 2.84, {0: 0, 1: 97, 2: 0, 3: 103, 4: 0, 5: 89, 6: 0, 7: 0, 8: 0, 9: 0, 10: 0})
165 | (263, 267, 284, 3.36, {0: 47, 1: 44, 2: 0, 3: 0, 4: 0, 5: 193, 6: 0, 7: 2, 8: 0, 9: 0, 10: 0})
166 | (273, 284, 284, 2.08, {0: 87, 1: 91, 2: 0, 3: 0, 4: 0, 5: 105, 6: 0, 7: 0, 8: 1, 9: 1, 10: 0})
167 | (286, 265, 292, 1.92, {0: 104, 1: 0, 2: 90, 3: 0, 4: 97, 5: 0, 6: 0, 7: 0, 8: 3, 9: 0, 10: 0})
168 | (287, 259, 220, 1.56, {0: 0, 1: 131, 2: 21, 3: 100, 4: 0, 5: 0, 6: 1, 7: 3, 8: 2, 9: 2, 10: 0})
169 | (240, 236, 259, 1.53, {0: 97, 1: 68, 2: 0, 3: 1, 4: 90, 5: 0, 6: 1, 7: 1, 8: 5, 9: 0, 10: 0})
170 | (263, 257, 260, 2.27, {0: 0, 1: 44, 2: 87, 3: 72, 4: 55, 5: 0, 6: 1, 7: 1, 8: 3, 9: 3, 10: 0})
171 | (282, 279, 290, 3.1,  {0: 0, 1: 50, 2: 0, 3: 92, 4: 145, 5: 0, 6: 0, 7: 0, 8: 4, 9: 0, 10: 0})
172 | (251, 265, 259, 1.75, {0: 96, 1: 24, 2: 49, 3: 0, 4: 52, 5: 38, 6: 0, 7: 3, 8: 2, 9: 1, 10: 0})
173 | (267, 255, 289, 2.45, {0: 45, 1: 93, 2: 0, 3: 57, 4: 0, 5: 94, 6: 0, 7: 0, 8: 1, 9: 0, 10: 0})
174 | (288, 274, 288, 0.99, {0: 91, 1: 104, 2: 92, 3: 0, 4: 0, 5: 0, 6: 1, 7: 0, 8: 0, 9: 2, 10: 0})
175 | (276, 275, 281, 2.84, {0: 92, 1: 0, 2: 0, 3: 0, 4: 99, 5: 88, 6: 0, 7: 0, 8: 2, 9: 1, 10: 0})
176 | (267, 251, 282, 3.4,  {0: 0, 1: 38, 2: 0, 3: 93, 4: 53, 5: 97, 6: 0, 7: 2, 8: 0, 9: 0, 10: 0})
177 | (273, 251, 264, 2.27, {0: 39, 1: 0, 2: 106, 3: 59, 4: 36, 5: 0, 6: 22, 7: 3, 8: 1, 9: 0, 10: 0})
178 | (254, 251, 282, 2.67, {0: 36, 1: 44, 2: 0, 3: 104, 4: 45, 5: 53, 6: 0, 7: 1, 8: 0, 9: 0, 10: 0})
179 | (266, 259, 267, 2.27, {0: 0, 1: 111, 2: 32, 3: 38, 4: 46, 5: 37, 6: 1, 7: 0, 8: 3, 9: 2, 10: 0})
180 | (280, 264, 281, 1.9,  {0: 0, 1: 88, 2: 97, 3: 96, 4: 0, 5: 0, 6: 0, 7: 1, 8: 1, 9: 0, 10: 0})
181 | (241, 279, 282, 2.4,  {0: 0, 1: 99, 2: 52, 3: 49, 4: 45, 5: 36, 6: 0, 7: 1, 8: 2, 9: 0, 10: 0})
182 | (284, 266, 281, 1.86, {0: 0, 1: 92, 2: 100, 3: 89, 4: 0, 5: 0, 6: 0, 7: 1, 8: 1, 9: 0, 10: 0})
183 | (284, 263, 285, 3.32, {0: 44, 1: 0, 2: 0, 3: 59, 4: 90, 5: 93, 6: 0, 7: 0, 8: 2, 9: 0, 10: 0})
184 | (281, 281, 290, 2.58, {0: 43, 1: 0, 2: 92, 3: 47, 4: 104, 5: 0, 6: 0, 7: 0, 8: 4, 9: 0, 10: 0})
185 | (273, 267, 259, 2.11, {0: 0, 1: 92, 2: 56, 3: 49, 4: 58, 5: 12, 6: 0, 7: 1, 8: 1, 9: 0, 10: 0})
186 | (279, 268, 286, 2.88, {0: 96, 1: 0, 2: 0, 3: 0, 4: 94, 5: 93, 6: 0, 7: 0, 8: 3, 9: 0, 10: 0})
187 | (283, 249, 283, 1.29, {0: 91, 1: 101, 2: 56, 3: 0, 4: 0, 5: 35, 6: 0, 7: 1, 8: 0, 9: 0, 10: 0})
188 | (278, 269, 267, 3.17, {0: 0, 1: 95, 2: 0, 3: 29, 4: 0, 5: 95, 6: 44, 7: 6, 8: 2, 9: 1, 10: 0})
189 | (267, 276, 286, 1.93, {0: 92, 1: 98, 2: 0, 3: 0, 4: 0, 5: 96, 6: 0, 7: 1, 8: 0, 9: 0, 10: 0})
190 | (284, 278, 289, 1.43, {0: 54, 1: 88, 2: 101, 3: 46, 4: 0, 5: 0, 6: 0, 7: 0, 8: 1, 9: 0, 10: 0})
191 | (270, 267, 246, 2.23, {0: 94, 1: 32, 2: 0, 3: 0, 4: 99, 5: 51, 6: 0, 7: 0, 8: 2, 9: 1, 10: 0})
192 | (271, 265, 286, 1.92, {0: 94, 1: 96, 2: 0, 3: 0, 4: 0, 5: 96, 6: 0, 7: 1, 8: 0, 9: 0, 10: 0})
193 | (274, 277, 251, 1.47, {0: 34, 1: 116, 2: 57, 3: 55, 4: 0, 5: 7, 6: 6, 7: 1, 8: 0, 9: 0, 10: 0})
194 | (259, 247, 253, 2.06, {0: 38, 1: 58, 2: 50, 3: 58, 4: 4, 5: 44, 6: 0, 7: 8, 8: 1, 9: 1, 10: 0})
195 | (277, 260, 281, 1.96, {0: 104, 1: 56, 2: 0, 3: 36, 4: 0, 5: 85, 6: 0, 7: 0, 8: 1, 9: 0, 10: 0})
196 | (277, 267, 284, 2.31, {0: 0, 1: 49, 2: 102, 3: 91, 4: 42, 5: 0, 6: 1, 7: 0, 8: 1, 9: 0, 10: 0})
197 | (278, 258, 284, 2.19, {0: 0, 1: 90, 2: 102, 3: 63, 4: 0, 5: 0, 6: 29, 7: 0, 8: 1, 9: 0, 10: 0})
198 | (278, 268, 286, 3.79, {0: 0, 1: 0, 2: 0, 3: 100, 4: 92, 5: 95, 6: 0, 7: 0, 8: 2, 9: 0, 10: 0})
199 | (246, 246, 222, 2.12, {0: 5, 1: 43, 2: 44, 3: 59, 4: 40, 5: 19, 6: 14, 7: 1, 8: 1, 9: 1, 10: 0})
