#batch_size = 10 | epochs = 20
#seed | (countHitsMotif, countHitsBackground, countMaxValueInMotifRange, avgDiff, mapDiff)
25 | (276, 260, 284, 3.87,  {0: 0, 1: 0, 2: 0, 3: 87, 4: 94, 5: 100, 6: 0, 7: 0, 8: 2, 9: 1, 10: 0})
26 | (249, 265, 275, 2.52,  {0: 0, 1: 58, 2: 91, 3: 0, 4: 123, 5: 0, 6: 0, 7: 1, 8: 4, 9: 1, 10: 0})
27 | (263, 261, 281, 1.77,  {0: 103, 1: 91, 2: 0, 3: 0, 4: 0, 5: 86, 6: 0, 7: 0, 8: 1, 9: 1, 10: 0})
28 | (250, 273, 279, 3.09,  {0: 0, 1: 0, 2: 42, 3: 105, 4: 132, 5: 0, 6: 0, 7: 0, 8: 2, 9: 0, 10: 0})
29 | (287, 279, 286, 1.93,  {0: 0, 1: 89, 2: 101, 3: 96, 4: 0, 5: 0, 6: 0, 7: 0, 8: 1, 9: 0, 10: 0})
30 | (278, 276, 288, 1.95,  {0: 0, 1: 96, 2: 87, 3: 105, 4: 0, 5: 0, 6: 1, 7: 0, 8: 0, 9: 0, 10: 0})
31 | (260, 269, 284, 1.88,  {0: 0, 1: 96, 2: 97, 3: 91, 4: 0, 5: 0, 6: 0, 7: 0, 8: 0, 9: 0, 10: 0})
32 | (268, 274, 292, 3.01,  {0: 94, 1: 0, 2: 0, 3: 0, 4: 92, 5: 105, 6: 0, 7: 0, 8: 0, 9: 1, 10: 0})
33 | (260, 277, 278, 2.71,  {0: 0, 1: 97, 2: 0, 3: 94, 4: 0, 5: 87, 6: 0, 7: 1, 8: 0, 9: 0, 10: 0})
34 | (284, 271, 258, 2.34,  {0: 47, 1: 86, 2: 0, 3: 45, 4: 44, 5: 60, 6: 0, 7: 1, 8: 4, 9: 0, 10: 0})
35 | (278, 278, 288, 2.88,  {0: 0, 1: 0, 2: 100, 3: 93, 4: 94, 5: 0, 6: 0, 7: 0, 8: 1, 9: 0, 10: 0})
36 | (266, 269, 279, 3.33,  {0: 0, 1: 50, 2: 0, 3: 86, 4: 45, 5: 83, 6: 12, 7: 1, 8: 2, 9: 2, 10: 0})
37 | (264, 273, 274, 2.3,   {0: 0, 1: 149, 2: 0, 3: 37, 4: 42, 5: 17, 6: 28, 7: 1, 8: 2, 9: 0, 10: 0})
38 | (259, 274, 285, 3.24,  {0: 0, 1: 59, 2: 0, 3: 87, 4: 44, 5: 95, 6: 0, 7: 1, 8: 0, 9: 1, 10: 0})
39 | (285, 275, 279, 2.47,  {0: 0, 1: 44, 2: 94, 3: 60, 4: 80, 5: 0, 6: 0, 7: 1, 8: 2, 9: 0, 10: 0})
40 | (284, 273, 287, 3.81,  {0: 0, 1: 0, 2: 0, 3: 100, 4: 96, 5: 91, 6: 0, 7: 0, 8: 2, 9: 0, 10: 0})
41 | (264, 275, 286, 2.48,  {0: 0, 1: 40, 2: 96, 3: 91, 4: 58, 5: 0, 6: 0, 7: 0, 8: 1, 9: 0, 10: 0})
42 | (289, 257, 282, 2.01,  {0: 0, 1: 83, 2: 98, 3: 96, 4: 0, 5: 0, 6: 0, 7: 6, 8: 0, 9: 0, 10: 0})
43 | (222, 260, 243, 2.38,  {0: 15, 1: 14, 2: 114, 3: 22, 4: 80, 5: 1, 6: 1, 7: 3, 8: 8, 9: 3, 10: 0})
44 | (278, 262, 285, 2.2,   {0: 103, 1: 53, 2: 0, 3: 0, 4: 37, 5: 92, 6: 0, 7: 0, 8: 2, 9: 0, 10: 0})
45 | (272, 270, 277, 1.96,  {0: 94, 1: 0, 2: 82, 3: 0, 4: 96, 5: 0, 6: 0, 7: 1, 8: 5, 9: 0, 10: 0})
46 | (268, 269, 284, 2.39,  {0: 0, 1: 43, 2: 99, 3: 95, 4: 46, 5: 0, 6: 0, 7: 0, 8: 2, 9: 0, 10: 0})
47 | (282, 262, 287, 2.86,  {0: 56, 1: 48, 2: 0, 3: 36, 4: 40, 5: 105, 6: 0, 7: 0, 8: 1, 9: 2, 10: 0})
48 | (273, 265, 283, 1.04,  {0: 87, 1: 103, 2: 89, 3: 0, 4: 0, 5: 0, 6: 0, 7: 0, 8: 4, 9: 1, 10: 0})
49 | (274, 257, 272, 3.61,  {0: 0, 1: 8, 2: 0, 3: 93, 4: 103, 5: 72, 6: 0, 7: 1, 8: 4, 9: 0, 10: 0})
50 | (272, 281, 283, 3.01,  {0: 0, 1: 92, 2: 0, 3: 57, 4: 36, 5: 96, 6: 0, 7: 1, 8: 4, 9: 0, 10: 0})
51 | (265, 281, 291, 3.02,  {0: 0, 1: 0, 2: 90, 3: 93, 4: 104, 5: 0, 6: 0, 7: 0, 8: 4, 9: 0, 10: 0})
52 | (273, 270, 285, 3.12,  {0: 0, 1: 0, 2: 91, 3: 73, 4: 95, 5: 0, 6: 26, 7: 0, 8: 1, 9: 0, 10: 0})
53 | (275, 273, 285, 2.42,  {0: 41, 1: 103, 2: 0, 3: 47, 4: 0, 5: 90, 6: 0, 7: 1, 8: 4, 9: 1, 10: 0})
54 | (278, 271, 290, 2.22,  {0: 103, 1: 58, 2: 0, 3: 0, 4: 37, 5: 92, 6: 0, 7: 0, 8: 2, 9: 0, 10: 0})
55 | (279, 240, 284, 2.42,  {0: 96, 1: 0, 2: 42, 3: 0, 4: 94, 5: 50, 6: 0, 7: 1, 8: 2, 9: 0, 10: 0})
56 | (278, 250, 288, 0.98,  {0: 90, 1: 101, 2: 97, 3: 0, 4: 0, 5: 0, 6: 0, 7: 0, 8: 0, 9: 1, 10: 0})
57 | (260, 265, 248, 3.11,  {0: 0, 1: 31, 2: 93, 3: 0, 4: 94, 5: 0, 6: 59, 7: 0, 8: 2, 9: 0, 10: 0})
58 | (277, 257, 291, 1.91,  {0: 104, 1: 0, 2: 90, 3: 0, 4: 96, 5: 0, 6: 0, 7: 0, 8: 3, 9: 0, 10: 0})
59 | (275, 271, 286, 2.31,  {0: 0, 1: 56, 2: 89, 3: 105, 4: 36, 5: 0, 6: 0, 7: 0, 8: 2, 9: 0, 10: 0})
60 | (277, 264, 290, 2.14,  {0: 89, 1: 0, 2: 93, 3: 0, 4: 96, 5: 0, 6: 12, 7: 0, 8: 1, 9: 0, 10: 0})
61 | (291, 257, 290, 1.82,  {0: 104, 1: 97, 2: 0, 3: 0, 4: 0, 5: 88, 6: 0, 7: 0, 8: 2, 9: 0, 10: 0})
62 | (274, 252, 287, 3.41,  {0: 0, 1: 45, 2: 0, 3: 89, 4: 58, 5: 94, 6: 0, 7: 2, 8: 1, 9: 0, 10: 0})
63 | (282, 273, 281, 3.0,   {0: 0, 1: 0, 2: 87, 3: 54, 4: 139, 5: 1, 6: 0, 7: 1, 8: 1, 9: 0, 10: 0})
64 | (280, 269, 283, 2.74,  {0: 0, 1: 58, 2: 33, 3: 85, 4: 103, 5: 0, 6: 0, 7: 0, 8: 4, 9: 1, 10: 0})
65 | (258, 263, 287, 0.98,  {0: 96, 1: 89, 2: 102, 3: 0, 4: 0, 5: 0, 6: 0, 7: 0, 8: 0, 9: 0, 10: 0})
66 | (284, 263, 289, 1.4,   {0: 49, 1: 103, 2: 94, 3: 43, 4: 0, 5: 0, 6: 0, 7: 0, 8: 0, 9: 1, 10: 0})
67 | (281, 280, 277, 2.32,  {0: 46, 1: 0, 2: 87, 3: 59, 4: 84, 5: 0, 6: 0, 7: 0, 8: 3, 9: 0, 10: 0})
68 | (284, 273, 284, 1.86,  {0: 0, 1: 98, 2: 97, 3: 89, 4: 0, 5: 0, 6: 0, 7: 0, 8: 0, 9: 1, 10: 0})
69 | (260, 215, 231, 2.5,   {0: 0, 1: 53, 2: 59, 3: 39, 4: 46, 5: 1, 6: 50, 7: 0, 8: 0, 9: 1, 10: 0})
70 | (270, 282, 287, 0.96,  {0: 94, 1: 97, 2: 96, 3: 0, 4: 0, 5: 0, 6: 0, 7: 0, 8: 0, 9: 0, 10: 0})
71 | (271, 277, 288, 3.47,  {0: 0, 1: 34, 2: 0, 3: 102, 4: 58, 5: 94, 6: 0, 7: 0, 8: 1, 9: 0, 10: 0})
72 | (278, 268, 288, 2.81,  {0: 0, 1: 104, 2: 0, 3: 90, 4: 0, 5: 94, 6: 0, 7: 1, 8: 0, 9: 1, 10: 0})
73 | (274, 274, 286, 1.38,  {0: 94, 1: 54, 2: 96, 3: 0, 4: 42, 5: 0, 6: 0, 7: 0, 8: 0, 9: 0, 10: 0})
74 | (269, 253, 291, 2.97,  {0: 93, 1: 0, 2: 0, 3: 0, 4: 102, 5: 95, 6: 0, 7: 1, 8: 1, 9: 0, 10: 0})
75 | (273, 273, 287, 3.84,  {0: 0, 1: 0, 2: 0, 3: 93, 4: 97, 5: 97, 6: 0, 7: 1, 8: 0, 9: 0, 10: 0})
76 | (260, 267, 286, 3.84,  {0: 0, 1: 0, 2: 0, 3: 96, 4: 88, 5: 101, 6: 0, 7: 0, 8: 1, 9: 0, 10: 0})
77 | (286, 267, 282, 2.39,  {0: 0, 1: 58, 2: 96, 3: 86, 4: 0, 5: 42, 6: 0, 7: 0, 8: 0, 9: 1, 10: 0})
78 | (262, 253, 270, 2.08,  {0: 0, 1: 90, 2: 73, 3: 55, 4: 47, 5: 0, 6: 0, 7: 5, 8: 1, 9: 0, 10: 0})
79 | (237, 265, 271, 2.75,  {0: 0, 1: 9, 2: 92, 3: 83, 4: 94, 5: 0, 6: 0, 7: 0, 8: 2, 9: 0, 10: 0})
80 | (265, 270, 261, 2.48,  {0: 4, 1: 103, 2: 37, 3: 0, 4: 58, 5: 30, 6: 24, 7: 1, 8: 4, 9: 2, 10: 0})
81 | (263, 279, 286, 1.96,  {0: 0, 1: 88, 2: 94, 3: 104, 4: 0, 5: 0, 6: 0, 7: 0, 8: 1, 9: 0, 10: 0})
82 | (291, 258, 275, 2.96,  {0: 0, 1: 0, 2: 102, 3: 59, 4: 73, 5: 39, 6: 0, 7: 1, 8: 2, 9: 1, 10: 0})
83 | (259, 271, 289, 1.59,  {0: 54, 1: 38, 2: 151, 3: 46, 4: 0, 5: 0, 6: 0, 7: 0, 8: 0, 9: 0, 10: 0})
84 | (265, 257, 284, 3.67,  {0: 0, 1: 43, 2: 0, 3: 49, 4: 58, 5: 127, 6: 6, 7: 1, 8: 1, 9: 0, 10: 0})
85 | (274, 234, 291, 2.81,  {0: 104, 1: 0, 2: 0, 3: 0, 4: 96, 5: 90, 6: 0, 7: 0, 8: 3, 9: 0, 10: 0})
86 | (277, 269, 288, 3.8,   {0: 0, 1: 0, 2: 0, 3: 103, 4: 96, 5: 89, 6: 0, 7: 0, 8: 2, 9: 0, 10: 0})
87 | (267, 271, 291, 2.41,  {0: 102, 1: 0, 2: 42, 3: 0, 4: 99, 5: 47, 6: 0, 7: 0, 8: 2, 9: 0, 10: 0})
88 | (275, 217, 256, 2.07,  {0: 0, 1: 92, 2: 0, 3: 141, 4: 21, 5: 0, 6: 1, 7: 0, 8: 2, 9: 2, 10: 0})
89 | (284, 251, 289, 3.45,  {0: 0, 1: 59, 2: 0, 3: 43, 4: 90, 5: 96, 6: 0, 7: 1, 8: 1, 9: 1, 10: 0})
90 | (279, 272, 285, 2.96,  {0: 0, 1: 91, 2: 0, 3: 88, 4: 0, 5: 105, 6: 0, 7: 0, 8: 1, 9: 1, 10: 0})
91 | (286, 256, 286, 2.88,  {0: 0, 1: 0, 2: 89, 3: 105, 4: 91, 5: 1, 6: 0, 7: 0, 8: 3, 9: 0, 10: 0})
92 | (268, 282, 282, 2.81,  {0: 0, 1: 0, 2: 98, 3: 92, 4: 91, 5: 0, 6: 0, 7: 1, 8: 1, 9: 0, 10: 0})
93 | (284, 247, 273, 2.23,  {0: 0, 1: 51, 2: 85, 3: 101, 4: 36, 5: 1, 6: 1, 7: 0, 8: 1, 9: 0, 10: 0})
94 | (286, 270, 291, 4.09,  {0: 0, 1: 0, 2: 0, 3: 44, 4: 151, 5: 92, 6: 0, 7: 1, 8: 4, 9: 0, 10: 0})
95 | (269, 253, 289, 2.08,  {0: 92, 1: 91, 2: 0, 3: 0, 4: 0, 5: 105, 6: 0, 7: 0, 8: 0, 9: 1, 10: 0})
96 | (282, 279, 291, 2.94,  {0: 97, 1: 0, 2: 0, 3: 0, 4: 93, 5: 99, 6: 0, 7: 0, 8: 2, 9: 0, 10: 0})
97 | (278, 269, 285, 2.41,  {0: 104, 1: 31, 2: 0, 3: 0, 4: 57, 5: 94, 6: 0, 7: 0, 8: 2, 9: 0, 10: 0})
98 | (284, 268, 284, 2.49,  {0: 47, 1: 0, 2: 87, 3: 42, 4: 104, 5: 1, 6: 0, 7: 0, 8: 4, 9: 1, 10: 0})
99 | (273, 276, 287, 2.39,  {0: 0, 1: 44, 2: 102, 3: 96, 4: 45, 5: 0, 6: 0, 7: 0, 8: 0, 9: 0, 10: 0})
100 | (260, 197, 176, 1.68, {0: 0, 1: 50, 2: 33, 3: 34, 4: 44, 5: 1, 6: 5, 7: 7, 8: 4, 9: 4, 10: 0})
101 | (263, 265, 282, 1.92, {0: 33, 1: 87, 2: 101, 3: 27, 4: 0, 5: 0, 6: 33, 7: 0, 8: 0, 9: 1, 10: 0})
102 | (270, 257, 285, 3.3,  {0: 0, 1: 0, 2: 45, 3: 104, 4: 92, 5: 44, 6: 0, 7: 0, 8: 1, 9: 0, 10: 0})
103 | (262, 226, 279, 3.41, {0: 0, 1: 35, 2: 45, 3: 45, 4: 59, 5: 45, 6: 52, 7: 0, 8: 0, 9: 1, 10: 0})
104 | (288, 259, 283, 3.86, {0: 0, 1: 0, 2: 0, 3: 88, 4: 92, 5: 100, 6: 1, 7: 0, 8: 2, 9: 1, 10: 0})
105 | (286, 258, 292, 2.83, {0: 103, 1: 0, 2: 0, 3: 0, 4: 98, 5: 90, 6: 0, 7: 0, 8: 3, 9: 0, 10: 0})
106 | (270, 288, 281, 1.92, {0: 0, 1: 92, 2: 93, 3: 94, 4: 0, 5: 0, 6: 0, 7: 1, 8: 2, 9: 0, 10: 0})
107 | (291, 265, 285, 1.85, {0: 104, 1: 0, 2: 87, 3: 0, 4: 93, 5: 1, 6: 0, 7: 0, 8: 3, 9: 0, 10: 0})
108 | (234, 280, 288, 2.92, {0: 0, 1: 0, 2: 88, 3: 105, 4: 94, 5: 1, 6: 0, 7: 0, 8: 2, 9: 0, 10: 0})
109 | (276, 285, 290, 1.36, {0: 104, 1: 94, 2: 49, 3: 0, 4: 0, 5: 43, 6: 0, 7: 0, 8: 1, 9: 0, 10: 0})
110 | (263, 283, 284, 1.47, {0: 104, 1: 33, 2: 90, 3: 0, 4: 57, 5: 1, 6: 0, 7: 0, 8: 1, 9: 0, 10: 0})
111 | (265, 266, 285, 3.91, {0: 25, 1: 0, 2: 0, 3: 35, 4: 94, 5: 99, 6: 30, 7: 0, 8: 2, 9: 0, 10: 0})
112 | (260, 268, 277, 2.27, {0: 94, 1: 54, 2: 0, 3: 0, 4: 40, 5: 82, 6: 0, 7: 1, 8: 6, 9: 1, 10: 0})
113 | (273, 243, 291, 3.24, {0: 0, 1: 59, 2: 0, 3: 105, 4: 36, 5: 91, 6: 0, 7: 0, 8: 1, 9: 0, 10: 0})
114 | (270, 274, 282, 1.98, {0: 44, 1: 39, 2: 97, 3: 46, 4: 56, 5: 0, 6: 0, 7: 0, 8: 0, 9: 0, 10: 0})
115 | (272, 261, 281, 3.26, {0: 0, 1: 0, 2: 51, 3: 93, 4: 94, 5: 41, 6: 0, 7: 0, 8: 2, 9: 0, 10: 0})
116 | (256, 230, 243, 1.45, {0: 95, 1: 24, 2: 58, 3: 46, 4: 43, 5: 0, 6: 1, 7: 0, 8: 2, 9: 1, 10: 0})
117 | (256, 224, 253, 2.48, {0: 0, 1: 80, 2: 39, 3: 46, 4: 45, 5: 1, 6: 33, 7: 10, 8: 1, 9: 0, 10: 0})
118 | (259, 271, 234, 0.73, {0: 87, 1: 144, 2: 30, 3: 11, 4: 0, 5: 0, 6: 1, 7: 0, 8: 3, 9: 1, 10: 0})
119 | (287, 262, 288, 1.96, {0: 0, 1: 92, 2: 91, 3: 105, 4: 0, 5: 0, 6: 0, 7: 0, 8: 0, 9: 0, 10: 0})
120 | (285, 261, 282, 1.87, {0: 97, 1: 43, 2: 52, 3: 0, 4: 46, 5: 41, 6: 0, 7: 1, 8: 2, 9: 1, 10: 0})
121 | (241, 233, 277, 2.27, {0: 0, 1: 82, 2: 88, 3: 56, 4: 0, 5: 51, 6: 0, 7: 1, 8: 0, 9: 0, 10: 0})
122 | (277, 261, 283, 2.86, {0: 0, 1: 0, 2: 95, 3: 92, 4: 94, 5: 0, 6: 0, 7: 0, 8: 2, 9: 0, 10: 0})
123 | (229, 245, 213, 2.07, {0: 44, 1: 73, 2: 0, 3: 0, 4: 79, 5: 1, 6: 35, 7: 4, 8: 4, 9: 2, 10: 0})
124 | (284, 271, 284, 2.33, {0: 0, 1: 47, 2: 100, 3: 95, 4: 42, 5: 1, 6: 0, 7: 0, 8: 1, 9: 0, 10: 0})
125 | (248, 257, 286, 2.25, {0: 46, 1: 61, 2: 45, 3: 56, 4: 37, 5: 40, 6: 0, 7: 0, 8: 2, 9: 0, 10: 0})
126 | (285, 270, 290, 2.79, {0: 104, 1: 0, 2: 0, 3: 0, 4: 93, 5: 93, 6: 0, 7: 0, 8: 3, 9: 0, 10: 0})
127 | (278, 278, 287, 2.99, {0: 0, 1: 0, 2: 89, 3: 93, 4: 100, 5: 0, 6: 0, 7: 1, 8: 4, 9: 0, 10: 0})
128 | (269, 224, 266, 3.65, {0: 0, 1: 5, 2: 0, 3: 93, 4: 80, 5: 39, 6: 50, 7: 0, 8: 1, 9: 0, 10: 0})
129 | (272, 255, 287, 2.46, {0: 0, 1: 80, 2: 81, 3: 49, 4: 58, 5: 0, 6: 18, 7: 0, 8: 1, 9: 0, 10: 0})
130 | (279, 275, 258, 1.76, {0: 94, 1: 23, 2: 68, 3: 0, 4: 94, 5: 0, 6: 0, 7: 1, 8: 2, 9: 0, 10: 0})
131 | (252, 277, 288, 2.44, {0: 44, 1: 0, 2: 94, 3: 55, 4: 95, 5: 0, 6: 0, 7: 0, 8: 1, 9: 0, 10: 0})
132 | (271, 279, 284, 2.13, {0: 0, 1: 102, 2: 93, 3: 63, 4: 0, 5: 0, 6: 23, 7: 0, 8: 3, 9: 1, 10: 0})
133 | (273, 252, 266, 2.28, {0: 0, 1: 0, 2: 186, 3: 30, 4: 44, 5: 1, 6: 0, 7: 3, 8: 4, 9: 1, 10: 0})
134 | (277, 261, 286, 3.88, {0: 0, 1: 0, 2: 0, 3: 89, 4: 91, 5: 105, 6: 0, 7: 0, 8: 0, 9: 1, 10: 0})
135 | (264, 273, 217, 1.53, {0: 26, 1: 152, 2: 0, 3: 45, 4: 43, 5: 0, 6: 8, 7: 0, 8: 0, 9: 1, 10: 0})
136 | (270, 273, 292, 0.93, {0: 104, 1: 97, 2: 91, 3: 0, 4: 0, 5: 0, 6: 0, 7: 0, 8: 1, 9: 0, 10: 0})
137 | (286, 283, 287, 2.9,  {0: 0, 1: 0, 2: 96, 3: 95, 4: 94, 5: 0, 6: 0, 7: 0, 8: 2, 9: 0, 10: 0})
138 | (251, 267, 242, 1.34, {0: 101, 1: 78, 2: 31, 3: 0, 4: 60, 5: 11, 6: 0, 7: 0, 8: 1, 9: 0, 10: 0})
139 | (288, 255, 289, 3.55, {0: 0, 1: 0, 2: 102, 3: 0, 4: 93, 5: 75, 6: 20, 7: 0, 8: 0, 9: 0, 10: 0})
140 | (261, 264, 202, 1.03, {0: 88, 1: 71, 2: 59, 3: 0, 4: 44, 5: 2, 6: 1, 7: 0, 8: 0, 9: 1, 10: 0})
141 | (270, 262, 290, 3.41, {0: 43, 1: 0, 2: 0, 3: 58, 4: 99, 5: 89, 6: 0, 7: 0, 8: 2, 9: 0, 10: 0})
142 | (270, 267, 288, 2.8,  {0: 0, 1: 56, 2: 46, 3: 105, 4: 35, 5: 42, 6: 0, 7: 4, 8: 1, 9: 0, 10: 0})
143 | (243, 283, 290, 3.0,  {0: 93, 1: 0, 2: 0, 3: 0, 4: 93, 5: 102, 6: 0, 7: 0, 8: 1, 9: 1, 10: 0})
144 | (267, 274, 209, 1.87, {0: 24, 1: 91, 2: 0, 3: 92, 4: 62, 5: 1, 6: 0, 7: 0, 8: 1, 9: 0, 10: 0})
145 | (264, 276, 287, 3.43, {0: 0, 1: 0, 2: 44, 3: 95, 4: 89, 5: 58, 6: 0, 7: 0, 8: 0, 9: 1, 10: 0})
146 | (294, 258, 264, 1.91, {0: 92, 1: 17, 2: 66, 3: 0, 4: 102, 5: 0, 6: 0, 7: 0, 8: 4, 9: 0, 10: 0})
147 | (250, 273, 276, 2.03, {0: 93, 1: 45, 2: 36, 3: 0, 4: 41, 5: 39, 6: 21, 7: 1, 8: 0, 9: 0, 10: 0})
148 | (256, 246, 281, 2.69, {0: 19, 1: 61, 2: 43, 3: 59, 4: 36, 5: 39, 6: 25, 7: 0, 8: 1, 9: 0, 10: 0})
149 | (249, 238, 246, 2.18, {0: 0, 1: 94, 2: 40, 3: 60, 4: 48, 5: 6, 6: 13, 7: 1, 8: 2, 9: 0, 10: 0})
150 | (276, 275, 290, 1.97, {0: 0, 1: 92, 2: 94, 3: 104, 4: 0, 5: 0, 6: 0, 7: 0, 8: 0, 9: 0, 10: 0})
151 | (259, 247, 279, 2.32, {0: 0, 1: 53, 2: 81, 3: 99, 4: 46, 5: 0, 6: 0, 7: 1, 8: 0, 9: 0, 10: 0})
152 | (284, 276, 289, 1.91, {0: 101, 1: 0, 2: 91, 3: 0, 4: 96, 5: 1, 6: 0, 7: 0, 8: 2, 9: 0, 10: 0})
153 | (250, 265, 279, 3.26, {0: 0, 1: 0, 2: 51, 3: 86, 4: 98, 5: 42, 6: 1, 7: 1, 8: 1, 9: 0, 10: 0})
154 | (248, 255, 264, 2.44, {0: 79, 1: 0, 2: 44, 3: 0, 4: 74, 5: 56, 6: 10, 7: 0, 8: 0, 9: 1, 10: 0})
155 | (273, 261, 288, 2.28, {0: 45, 1: 61, 2: 46, 3: 59, 4: 36, 5: 39, 6: 0, 7: 0, 8: 3, 9: 0, 10: 0})
156 | (266, 275, 285, 1.6,  {0: 91, 1: 45, 2: 88, 3: 0, 4: 57, 5: 0, 6: 0, 7: 0, 8: 4, 9: 0, 10: 0})
157 | (285, 219, 269, 1.11, {0: 95, 1: 34, 2: 137, 3: 0, 4: 1, 5: 0, 6: 0, 7: 0, 8: 4, 9: 2, 10: 0})
158 | (257, 237, 227, 1.98, {0: 0, 1: 109, 2: 46, 3: 95, 4: 0, 5: 0, 6: 26, 7: 0, 8: 2, 9: 0, 10: 0})
159 | (250, 263, 289, 2.94, {0: 93, 1: 0, 2: 0, 3: 0, 4: 100, 5: 95, 6: 0, 7: 1, 8: 1, 9: 0, 10: 0})
160 | (278, 275, 277, 1.53, {0: 95, 1: 29, 2: 94, 3: 0, 4: 58, 5: 1, 6: 0, 7: 0, 8: 0, 9: 2, 10: 0})
161 | (287, 259, 277, 2.52, {0: 0, 1: 46, 2: 50, 3: 137, 4: 37, 5: 0, 6: 0, 7: 4, 8: 4, 9: 0, 10: 0})
162 | (274, 275, 285, 1.87, {0: 0, 1: 100, 2: 95, 3: 90, 4: 0, 5: 0, 6: 0, 7: 0, 8: 0, 9: 0, 10: 0})
