#batch_size = 10 | epochs = 20
#seed | (countHitsMotif, countHitsBackground, countMaxValueInMotifRange, avgDiff, mapDiff)
0 | (253, 248, 281, 2.88,   {0: 0, 1: 58, 2: 34, 3: 85, 4: 46, 5: 55, 6: 0, 7: 1, 8: 3, 9: 1, 10: 0})
1 | (280, 285, 291, 3.41,   {0: 50, 1: 0, 2: 0, 3: 45, 4: 103, 5: 89, 6: 0, 7: 1, 8: 4, 9: 0, 10: 0})
2 | (277, 265, 258, 1.33,   {0: 95, 1: 59, 2: 37, 3: 46, 4: 36, 5: 0, 6: 0, 7: 1, 8: 1, 9: 0, 10: 0})
3 | (244, 232, 263, 1.95,   {0: 52, 1: 55, 2: 57, 3: 36, 4: 42, 5: 13, 6: 13, 7: 0, 8: 2, 9: 0, 10: 0})
4 | (275, 268, 289, 1.52,   {0: 104, 1: 37, 2: 89, 3: 0, 4: 58, 5: 0, 6: 0, 7: 0, 8: 2, 9: 0, 10: 0})
5 | (277, 275, 289, 2.99,   {0: 0, 1: 0, 2: 90, 3: 94, 4: 101, 5: 0, 6: 0, 7: 0, 8: 4, 9: 0, 10: 0})
6 | (274, 266, 292, 3.02,   {0: 93, 1: 0, 2: 0, 3: 0, 4: 93, 5: 105, 6: 0, 7: 0, 8: 0, 9: 1, 10: 0})
7 | (249, 225, 252, 2.72,   {0: 9, 1: 34, 2: 45, 3: 44, 4: 59, 5: 48, 6: 14, 7: 2, 8: 1, 9: 1, 10: 0})
8 | (271, 266, 194, 2.53,   {0: 0, 1: 76, 2: 0, 3: 49, 4: 137, 5: 0, 6: 0, 7: 0, 8: 9, 9: 0, 10: 0})
9 | (275, 255, 288, 1.87,   {0: 100, 1: 95, 2: 0, 3: 0, 4: 0, 5: 93, 6: 0, 7: 0, 8: 1, 9: 0, 10: 0})
10 | (287, 251, 290, 1.57,  {0: 102, 1: 34, 2: 92, 3: 0, 4: 61, 5: 1, 6: 0, 7: 0, 8: 1, 9: 0, 10: 0})
11 | (233, 252, 199, 2.29,  {0: 11, 1: 10, 2: 42, 3: 56, 4: 49, 5: 13, 6: 23, 7: 6, 8: 2, 9: 1, 10: 0})
12 | (273, 246, 284, 1.57,  {0: 103, 1: 84, 2: 0, 3: 0, 4: 97, 5: 0, 6: 0, 7: 0, 8: 1, 9: 0, 10: 0})
13 | (289, 282, 286, 2.03,  {0: 93, 1: 0, 2: 89, 3: 0, 4: 100, 5: 0, 6: 0, 7: 0, 8: 4, 9: 0, 10: 0})
14 | (285, 269, 288, 3.41,  {0: 0, 1: 47, 2: 0, 3: 93, 4: 45, 5: 102, 6: 0, 7: 0, 8: 1, 9: 0, 10: 0})
15 | (262, 259, 288, 2.01,  {0: 102, 1: 35, 2: 43, 3: 0, 4: 62, 5: 46, 6: 0, 7: 0, 8: 1, 9: 0, 10: 0})
16 | (284, 262, 292, 3.95,  {0: 0, 1: 0, 2: 0, 3: 92, 4: 104, 5: 92, 6: 0, 7: 1, 8: 4, 9: 0, 10: 0})
17 | (264, 223, 249, 1.56,  {0: 54, 1: 83, 2: 72, 3: 0, 4: 62, 5: 1, 6: 0, 7: 0, 8: 1, 9: 2, 10: 0})
18 | (261, 265, 286, 2.34,  {0: 97, 1: 0, 2: 53, 3: 0, 4: 91, 5: 43, 6: 0, 7: 1, 8: 2, 9: 0, 10: 0})
19 | (260, 214, 242, 2.4,   {0: 0, 1: 28, 2: 105, 3: 59, 4: 62, 5: 0, 6: 12, 7: 0, 8: 3, 9: 0, 10: 0})
20 | (286, 262, 285, 1.92,  {0: 0, 1: 88, 2: 102, 3: 95, 4: 0, 5: 0, 6: 0, 7: 0, 8: 0, 9: 0, 10: 0})
21 | (246, 225, 259, 3.07,  {0: 5, 1: 9, 2: 40, 3: 106, 4: 56, 5: 20, 6: 29, 7: 2, 8: 2, 9: 1, 10: 0})
22 | (278, 287, 287, 2.88,  {0: 0, 1: 93, 2: 0, 3: 100, 4: 0, 5: 94, 6: 0, 7: 0, 8: 1, 9: 0, 10: 0})
23 | (247, 282, 225, 2.0,   {0: 35, 1: 38, 2: 94, 3: 0, 4: 84, 5: 1, 6: 12, 7: 1, 8: 1, 9: 1, 10: 0})
24 | (276, 243, 246, 1.66,  {0: 96, 1: 38, 2: 55, 3: 0, 4: 93, 5: 0, 6: 0, 7: 1, 8: 2, 9: 0, 10: 0})
