# seed | (motifHits, avgDiff, mapDiff)
175 | (285, 3.87,   {0: 0, 1: 50, 2: 0, 3: 40, 4: 46, 5: 92, 6: 55, 7: 1, 8: 4, 9: 0, 10: 0})
176 | (164, 2.46,   {0: 0, 1: 0, 2: 0, 3: 2, 4: 108, 5: 45, 6: 12, 7: 3, 8: 5, 9: 4, 10: 5})
177 | (202, 1.68,   {0: 104, 1: 0, 2: 0, 3: 0, 4: 2, 5: 93, 6: 4, 7: 2, 8: 7, 9: 0, 10: 1})
178 | (36, 0.74,    {0: 0, 1: 0, 2: 0, 3: 1, 4: 2, 5: 2, 6: 39, 7: 3, 8: 2, 9: 4, 10: 4})
179 | (218, 1.69,   {0: 35, 1: 37, 2: 51, 3: 46, 4: 43, 5: 0, 6: 1, 7: 8, 8: 2, 9: 2, 10: 2})
180 | (88, 0.52,    {0: 0, 1: 99, 2: 37, 3: 0, 4: 1, 5: 2, 6: 2, 7: 0, 8: 3, 9: 4, 10: 5})
181 | (245, 1.95,   {0: 0, 1: 47, 2: 92, 3: 79, 4: 26, 5: 0, 6: 0, 7: 0, 8: 1, 9: 3, 10: 0})
182 | (108, 0.95,   {0: 0, 1: 4, 2: 98, 3: 1, 4: 3, 5: 2, 6: 10, 7: 4, 8: 5, 9: 3, 10: 5})
183 | (266, 3.2,    {0: 0, 1: 59, 2: 0, 3: 26, 4: 88, 5: 91, 6: 1, 7: 0, 8: 2, 9: 0, 10: 2})
184 | (287, 0.98,   {0: 88, 1: 104, 2: 95, 3: 0, 4: 0, 5: 0, 6: 0, 7: 0, 8: 0, 9: 1, 10: 0})
185 | (171, 2.10,   {0: 0, 1: 55, 2: 0, 3: 1, 4: 14, 5: 98, 6: 0, 7: 4, 8: 2, 9: 4, 10: 1})
186 | (288, 2.07,   {0: 94, 1: 88, 2: 0, 3: 0, 4: 0, 5: 105, 6: 1, 7: 0, 8: 1, 9: 2, 10: 0})
187 | (210, 1.5,    {0: 93, 1: 37, 2: 0, 3: 0, 4: 1, 5: 75, 6: 0, 7: 5, 8: 2, 9: 2, 10: 0})
188 | (225, 0.28,   {0: 183, 1: 0, 2: 42, 3: 0, 4: 0, 5: 1, 6: 1, 7: 0, 8: 0, 9: 1, 10: 1})
189 | (265, 2.09,   {0: 0, 1: 71, 2: 100, 3: 44, 4: 43, 5: 0, 6: 0, 7: 5, 8: 1, 9: 1, 10: 0})
190 | (103, 0.13,   {0: 98, 1: 45, 2: 0, 3: 2, 4: 0, 5: 1, 6: 0, 7: 2, 8: 7, 9: 1, 10: 1})
191 | (194, 1.81,   {0: 44, 1: 0, 2: 41, 3: 0, 4: 103, 5: 0, 6: 2, 7: 1, 8: 5, 9: 2, 10: 0})
192 | (141, 0.22,   {0: 91, 1: 147, 2: 3, 3: 1, 4: 0, 5: 0, 6: 1, 7: 0, 8: 1, 9: 3, 10: 2})
193 | (109, 0.12,   {0: 104, 1: 78, 2: 0, 3: 0, 4: 1, 5: 0, 6: 3, 7: 2, 8: 2, 9: 3, 10: 1})
194 | (229, 3.02,   {0: 23, 1: 0, 2: 0, 3: 21, 4: 94, 5: 87, 6: 2, 7: 3, 8: 4, 9: 0, 10: 5})
195 | (229, 1.49,   {0: 55, 1: 92, 2: 39, 3: 0, 4: 0, 5: 42, 6: 0, 7: 3, 8: 8, 9: 4, 10: 4})
196 | (292, 1.29,   {0: 96, 1: 49, 2: 101, 3: 46, 4: 0, 5: 0, 6: 0, 7: 0, 8: 1, 9: 0, 10: 0})
197 | (263, 1.81,   {0: 0, 1: 76, 2: 92, 3: 95, 4: 3, 5: 0, 6: 0, 7: 0, 8: 1, 9: 1, 10: 1})
198 | (54, 0.64,    {0: 0, 1: 73, 2: 0, 3: 48, 4: 1, 5: 3, 6: 11, 7: 5, 8: 1, 9: 4, 10: 4})
199 | (213, 0.58,   {0: 105, 1: 71, 2: 44, 3: 0, 4: 1, 5: 0, 6: 2, 7: 1, 8: 1, 9: 5, 10: 0})
200 | (148, 0.36,   {0: 90, 1: 50, 2: 6, 3: 2, 4: 0, 5: 0, 6: 4, 7: 7, 8: 6, 9: 2, 10: 5})
201 | (264, 1.86,   {0: 85, 1: 84, 2: 0, 3: 0, 4: 0, 5: 95, 6: 1, 7: 1, 8: 0, 9: 1, 10: 0})
202 | (145, 0.83,   {0: 0, 1: 94, 2: 25, 3: 21, 4: 3, 5: 2, 6: 3, 7: 2, 8: 1, 9: 5, 10: 3})
203 | (284, 1.91,   {0: 104, 1: 49, 2: 0, 3: 0, 4: 133, 5: 0, 6: 0, 7: 1, 8: 1, 9: 0, 10: 0})
204 | (272, 3.51,   {0: 0, 1: 52, 2: 0, 3: 45, 4: 43, 5: 96, 6: 36, 7: 1, 8: 0, 9: 0, 10: 2})
205 | (284, 1.92,   {0: 87, 1: 102, 2: 0, 3: 0, 4: 0, 5: 95, 6: 0, 7: 1, 8: 0, 9: 1, 10: 0})
206 | (278, 2.77,   {0: 0, 1: 0, 2: 93, 3: 94, 4: 91, 5: 0, 6: 0, 7: 0, 8: 0, 9: 0, 10: 1})
207 | (203, 2.41,   {0: 0, 1: 44, 2: 44, 3: 0, 4: 58, 5: 3, 6: 51, 7: 5, 8: 3, 9: 2, 10: 3})
208 | (234, 3.89,   {0: 0, 1: 0, 2: 0, 3: 0, 4: 80, 5: 82, 6: 75, 7: 0, 8: 3, 9: 1, 10: 0})
209 | (250, 3.52,   {0: 0, 1: 26, 2: 0, 3: 42, 4: 113, 5: 95, 6: 0, 7: 0, 8: 2, 9: 0, 10: 1})
210 | (284, 2.72,   {0: 102, 1: 0, 2: 0, 3: 0, 4: 96, 5: 86, 6: 0, 7: 0, 8: 2, 9: 0, 10: 0})
211 | (220, 3.11,   {0: 0, 1: 0, 2: 0, 3: 57, 4: 64, 5: 95, 6: 7, 7: 0, 8: 2, 9: 1, 10: 5})
212 | (199, 2.25,   {0: 0, 1: 41, 2: 35, 3: 40, 4: 27, 5: 30, 6: 24, 7: 0, 8: 5, 9: 4, 10: 2})
213 | (246, 3.21,   {0: 0, 1: 0, 2: 0, 3: 95, 4: 88, 5: 61, 6: 2, 7: 2, 8: 2, 9: 5, 10: 0})
214 | (74, 0.94,    {0: 0, 1: 18, 2: 47, 3: 2, 4: 2, 5: 4, 6: 18, 7: 9, 8: 8, 9: 5, 10: 6})
215 | (146, 0.74,   {0: 94, 1: 0, 2: 0, 3: 3, 4: 52, 5: 5, 6: 2, 7: 1, 8: 3, 9: 3, 10: 3})
216 | (96, 1.02,    {0: 0, 1: 1, 2: 8, 3: 93, 4: 0, 5: 3, 6: 6, 7: 1, 8: 2, 9: 5, 10: 3})
217 | (270, 1.81,   {0: 93, 1: 86, 2: 0, 3: 0, 4: 0, 5: 91, 6: 0, 7: 1, 8: 0, 9: 2, 10: 0})
218 | (152, 1.36,   {0: 0, 1: 0, 2: 96, 3: 45, 4: 3, 5: 1, 6: 2, 7: 8, 8: 3, 9: 3, 10: 3})
219 | (274, 0.49,   {0: 182, 1: 37, 2: 55, 3: 0, 4: 0, 5: 1, 6: 0, 7: 0, 8: 0, 9: 0, 10: 0})
220 | (277, 2.47,   {0: 89, 1: 36, 2: 0, 3: 0, 4: 56, 5: 95, 6: 0, 7: 1, 8: 1, 9: 0, 10: 1})
221 | (284, 3.72,   {0: 0, 1: 0, 2: 0, 3: 105, 4: 95, 5: 84, 6: 1, 7: 0, 8: 2, 9: 0, 10: 0})
222 | (196, 2.81,   {0: 0, 1: 5, 2: 37, 3: 0, 4: 44, 5: 103, 6: 12, 7: 3, 8: 2, 9: 1, 10: 0})
223 | (97, 0.81,    {0: 0, 1: 0, 2: 60, 3: 36, 4: 2, 5: 1, 6: 3, 7: 5, 8: 3, 9: 1, 10: 3})
224 | (99, 0.05,    {0: 97, 1: 0, 2: 15, 3: 0, 4: 0, 5: 1, 6: 3, 7: 1, 8: 2, 9: 5, 10: 3})
225 | (159, 1.38,   {0: 0, 1: 52, 2: 61, 3: 0, 4: 45, 5: 1, 6: 11, 7: 1, 8: 4, 9: 0, 10: 1})
226 | (35, 0.36,    {0: 0, 1: 25, 2: 1, 3: 3, 4: 2, 5: 3, 6: 1, 7: 3, 8: 8, 9: 7, 10: 8})
227 | (87, 0.87,    {0: 0, 1: 8, 2: 52, 3: 3, 4: 30, 5: 3, 6: 5, 7: 2, 8: 4, 9: 4, 10: 7})
228 | (243, 1.79,   {0: 93, 1: 53, 2: 12, 3: 0, 4: 0, 5: 97, 6: 0, 7: 2, 8: 0, 9: 0, 10: 1})
229 | (272, 2.65,   {0: 0, 1: 98, 2: 0, 3: 86, 4: 1, 5: 88, 6: 2, 7: 0, 8: 0, 9: 0, 10: 1})
230 | (277, 2.64,   {0: 0, 1: 0, 2: 168, 3: 0, 4: 106, 5: 0, 6: 0, 7: 0, 8: 5, 9: 0, 10: 1})
231 | (167, 2.08,   {0: 0, 1: 87, 2: 0, 3: 29, 4: 0, 5: 87, 6: 0, 7: 3, 8: 6, 9: 2, 10: 1})
232 | (265, 2.28,   {0: 0, 1: 32, 2: 96, 3: 94, 4: 41, 5: 1, 6: 0, 7: 3, 8: 0, 9: 0, 10: 0})
233 | (283, 3.03,   {0: 0, 1: 0, 2: 44, 3: 155, 4: 79, 5: 0, 6: 0, 7: 0, 8: 6, 9: 0, 10: 0})
234 | (289, 2.6,    {0: 97, 1: 0, 2: 0, 3: 44, 4: 92, 5: 56, 6: 0, 7: 0, 8: 0, 9: 0, 10: 0})
235 | (144, 1.48,   {0: 0, 1: 28, 2: 49, 3: 31, 4: 19, 5: 0, 6: 13, 7: 11, 8: 3, 9: 4, 10: 3})
236 | (5, 0.14,     {0: 0, 1: 1, 2: 1, 3: 5, 4: 0, 5: 1, 6: 1, 7: 4, 8: 4, 9: 5, 10: 11})
237 | (179, 1.21,   {0: 90, 1: 96, 2: 0, 3: 0, 4: 87, 5: 0, 6: 0, 7: 0, 8: 1, 9: 1, 10: 1})
238 | (148, 1.75,   {0: 1, 1: 1, 2: 4, 3: 103, 4: 37, 5: 0, 6: 3, 7: 5, 8: 4, 9: 8, 10: 1})
239 | (11, 0.29,    {0: 0, 1: 49, 2: 1, 3: 2, 4: 3, 5: 2, 6: 2, 7: 5, 8: 4, 9: 4, 10: 5})
240 | (64, 1.3,     {0: 0, 1: 7, 2: 1, 3: 1, 4: 3, 5: 5, 6: 62, 7: 7, 8: 2, 9: 4, 10: 10})
241 | (219, 2.39,   {0: 0, 1: 88, 2: 0, 3: 18, 4: 2, 5: 106, 6: 7, 7: 1, 8: 1, 9: 3, 10: 1})
242 | (74, 1.00,    {0: 0, 1: 0, 2: 1, 3: 58, 4: 3, 5: 2, 6: 3, 7: 11, 8: 6, 9: 9, 10: 4})
243 | (141, 0.34,   {0: 83, 1: 95, 2: 0, 3: 1, 4: 1, 5: 0, 6: 2, 7: 5, 8: 0, 9: 3, 10: 3})
244 | (279, 2.57,   {0: 0, 1: 102, 2: 0, 3: 50, 4: 124, 5: 0, 6: 0, 7: 2, 8: 4, 9: 0, 10: 0})
245 | (239, 1.69,   {0: 89, 1: 0, 2: 0, 3: 103, 4: 44, 5: 1, 6: 0, 7: 0, 8: 3, 9: 1, 10: 0})
246 | (96, 1.94,    {0: 0, 1: 0, 2: 0, 3: 3, 4: 3, 5: 5, 6: 95, 7: 2, 8: 1, 9: 7, 10: 4})
247 | (287, 0.87,   {0: 135, 1: 49, 2: 102, 3: 0, 4: 0, 5: 0, 6: 0, 7: 0, 8: 1, 9: 1, 10: 0})
248 | (213, 2.47,   {0: 0, 1: 29, 2: 92, 3: 0, 4: 0, 5: 24, 6: 71, 7: 1, 8: 0, 9: 0, 10: 5})
249 | (134, 1.62,   {0: 0, 1: 0, 2: 59, 3: 37, 4: 4, 5: 0, 6: 17, 7: 20, 8: 2, 9: 5, 10: 4})
250 | (230, 2.1,    {0: 1, 1: 0, 2: 88, 3: 137, 4: 0, 5: 0, 6: 0, 7: 3, 8: 1, 9: 5, 10: 0})
251 | (267, 2.33,   {0: 97, 1: 26, 2: 0, 3: 0, 4: 51, 5: 93, 6: 0, 7: 0, 8: 2, 9: 1, 10: 1})
252 | (235, 2.06,   {0: 48, 1: 7, 2: 50, 3: 44, 4: 90, 5: 2, 6: 0, 7: 0, 8: 3, 9: 2, 10: 0})
253 | (212, 3.2,    {0: 0, 1: 0, 2: 50, 3: 0, 4: 49, 5: 31, 6: 75, 7: 9, 8: 1, 9: 1, 10: 3})
254 | (121, 0.70,   {0: 0, 1: 104, 2: 0, 3: 6, 4: 5, 5: 2, 6: 1, 7: 1, 8: 10, 9: 7, 10: 3})
255 | (213, 3.01,   {0: 0, 1: 0, 2: 0, 3: 43, 4: 79, 5: 91, 6: 0, 7: 4, 8: 1, 9: 1, 10: 2})
256 | (286, 1.93,   {0: 0, 1: 93, 2: 93, 3: 100, 4: 0, 5: 0, 6: 0, 7: 0, 8: 0, 9: 0, 10: 0})
257 | (228, 1.8,    {0: 75, 1: 59, 2: 0, 3: 0, 4: 0, 5: 91, 6: 0, 7: 0, 8: 3, 9: 3, 10: 2})
258 | (284, 1.86,   {0: 0, 1: 101, 2: 91, 3: 92, 4: 0, 5: 0, 6: 0, 7: 0, 8: 0, 9: 1, 10: 0})
259 | (277, 4.19,   {0: 0, 1: 0, 2: 0, 3: 46, 4: 44, 5: 185, 6: 0, 7: 1, 8: 0, 9: 2, 10: 0})
260 | (265, 2.21,   {0: 0, 1: 42, 2: 85, 3: 101, 4: 37, 5: 0, 6: 0, 7: 1, 8: 2, 9: 0, 10: 2})
261 | (271, 3.54,   {0: 24, 1: 0, 2: 0, 3: 49, 4: 91, 5: 96, 6: 9, 7: 0, 8: 2, 9: 1, 10: 0})
262 | (7, 0.18,     {0: 0, 1: 2, 2: 6, 3: 5, 4: 4, 5: 4, 6: 3, 7: 5, 8: 6, 9: 4, 10: 9})
263 | (167, 2.21,   {0: 0, 1: 14, 2: 52, 3: 20, 4: 43, 5: 1, 6: 51, 7: 0, 8: 2, 9: 2, 10: 0})
264 | (195, 1.73,   {0: 94, 1: 0, 2: 2, 3: 2, 4: 2, 5: 96, 6: 2, 7: 5, 8: 2, 9: 2, 10: 1})
265 | (13, 0.33,    {0: 0, 1: 0, 2: 5, 3: 8, 4: 0, 5: 5, 6: 2, 7: 14, 8: 8, 9: 5, 10: 6})
266 | (180, 2.30,   {0: 0, 1: 44, 2: 0, 3: 59, 4: 1, 5: 1, 6: 72, 7: 8, 8: 1, 9: 2, 10: 3})
267 | (132, 0.74,   {0: 0, 1: 61, 2: 90, 3: 0, 4: 2, 5: 2, 6: 2, 7: 4, 8: 1, 9: 1, 10: 3})
268 | (284, 2.01,   {0: 94, 1: 0, 2: 86, 3: 0, 4: 100, 5: 0, 6: 0, 7: 0, 8: 4, 9: 0, 10: 0})
269 | (285, 3.79,   {0: 0, 1: 0, 2: 0, 3: 97, 4: 96, 5: 92, 6: 0, 7: 0, 8: 2, 9: 0, 10: 1})
270 | (288, 3.21,   {0: 0, 1: 0, 2: 93, 3: 98, 4: 0, 5: 97, 6: 0, 7: 1, 8: 0, 9: 0, 10: 0})
271 | (268, 0.91,   {0: 91, 1: 86, 2: 90, 3: 0, 4: 0, 5: 0, 6: 0, 7: 0, 8: 2, 9: 0, 10: 1})
272 | (293, 2.17,   {0: 0, 1: 110, 2: 43, 3: 104, 4: 36, 5: 0, 6: 0, 7: 0, 8: 2, 9: 0, 10: 0})
273 | (132, 0.25,   {0: 92, 1: 47, 2: 0, 3: 0, 4: 2, 5: 2, 6: 3, 7: 8, 8: 1, 9: 3, 10: 4})
274 | (282, 1.44,   {0: 103, 1: 32, 2: 93, 3: 0, 4: 54, 5: 1, 6: 0, 7: 0, 8: 1, 9: 0, 10: 0})
275 | (270, 3.55,   {0: 0, 1: 94, 2: 0, 3: 1, 4: 0, 5: 87, 6: 89, 7: 2, 8: 1, 9: 1, 10: 0})
276 | (290, 2.10,   {0: 90, 1: 0, 2: 92, 3: 0, 4: 104, 5: 0, 6: 0, 7: 0, 8: 4, 9: 0, 10: 0})
277 | (208, 2.26,   {0: 10, 1: 40, 2: 27, 3: 32, 4: 42, 5: 37, 6: 18, 7: 2, 8: 3, 9: 2, 10: 2})
278 | (249, 2.40,   {0: 97, 1: 0, 2: 5, 3: 2, 4: 49, 5: 100, 6: 0, 7: 0, 8: 2, 9: 2, 10: 2})
279 | (49, 0.44,    {0: 0, 1: 0, 2: 43, 3: 3, 4: 4, 5: 2, 6: 2, 7: 4, 8: 8, 9: 4, 10: 6})
280 | (232, 1.61,   {0: 49, 1: 36, 2: 107, 3: 33, 4: 43, 5: 1, 6: 0, 7: 0, 8: 0, 9: 1, 10: 0})
281 | (201, 0.99,   {0: 91, 1: 93, 2: 0, 3: 4, 4: 45, 5: 1, 6: 0, 7: 3, 8: 5, 9: 1, 10: 1})
282 | (262, 2.76,   {0: 0, 1: 41, 2: 40, 3: 104, 4: 36, 5: 0, 6: 41, 7: 0, 8: 1, 9: 2, 10: 0})
283 | (191, 1.37,   {0: 0, 1: 87, 2: 0, 3: 101, 4: 1, 5: 1, 6: 1, 7: 1, 8: 2, 9: 3, 10: 1})
284 | (228, 1.51,   {0: 94, 1: 64, 2: 0, 3: 0, 4: 34, 5: 54, 6: 0, 7: 0, 8: 1, 9: 0, 10: 1})
285 | (104, 0.84,   {0: 0, 1: 42, 2: 5, 3: 59, 4: 3, 5: 0, 6: 2, 7: 8, 8: 2, 9: 8, 10: 5})
286 | (196, 2.40,   {0: 1, 1: 55, 2: 0, 3: 7, 4: 43, 5: 94, 6: 0, 7: 1, 8: 4, 9: 4, 10: 6})
287 | (282, 1.35,   {0: 86, 1: 43, 2: 95, 3: 58, 4: 0, 5: 1, 6: 0, 7: 0, 8: 0, 9: 0, 10: 0})
288 | (288, 0.93,   {0: 99, 1: 97, 2: 92, 3: 0, 4: 0, 5: 0, 6: 0, 7: 0, 8: 0, 9: 0, 10: 0})
289 | (11, 0.0,     {0: 11, 1: 0, 2: 0, 3: 0, 4: 5, 5: 0, 6: 5, 7: 4, 8: 1, 9: 2, 10: 6})
290 | (264, 1.84,   {0: 83, 1: 91, 2: 0, 3: 0, 4: 0, 5: 81, 6: 8, 7: 2, 8: 1, 9: 1, 10: 0})
291 | (283, 1.77,   {0: 93, 1: 60, 2: 0, 3: 49, 4: 81, 5: 0, 6: 0, 7: 0, 8: 1, 9: 0, 10: 0})
292 | (188, 3.44,   {0: 0, 1: 0, 2: 0, 3: 0, 4: 2, 5: 105, 6: 77, 7: 6, 8: 0, 9: 4, 10: 6})
293 | (144, 1.61,   {0: 0, 1: 0, 2: 97, 3: 1, 4: 3, 5: 1, 6: 43, 7: 3, 8: 1, 9: 6, 10: 2})
294 | (141, 1.68,   {0: 0, 1: 92, 2: 8, 3: 88, 4: 46, 5: 0, 6: 1, 7: 2, 8: 3, 9: 2, 10: 4})
295 | (188, 1.33,   {0: 0, 1: 117, 2: 0, 3: 99, 4: 0, 5: 0, 6: 1, 7: 0, 8: 3, 9: 1, 10: 2})
296 | (275, 2.84,   {0: 86, 1: 0, 2: 0, 3: 0, 4: 93, 5: 96, 6: 0, 7: 1, 8: 0, 9: 0, 10: 0})
297 | (228, 2.15,   {0: 88, 1: 0, 2: 0, 3: 0, 4: 74, 5: 61, 6: 0, 7: 0, 8: 5, 9: 3, 10: 2})
298 | (285, 2.9,    {0: 0, 1: 0, 2: 95, 3: 88, 4: 100, 5: 0, 6: 0, 7: 0, 8: 2, 9: 0, 10: 0})
299 | (276, 2.36,   {0: 40, 1: 0, 2: 97, 3: 41, 4: 99, 5: 0, 6: 1, 7: 0, 8: 0, 9: 0, 10: 0})
