# seed | (motifHits, avgDiff, mapDiff)
40  | (113, 1.21,   {0: 0, 1: 6, 2: 54, 3: 0, 4: 55, 5: 3, 6: 1, 7: 2, 8: 8, 9: 1, 10: 4})
41  | (100, 0.56,   {0: 0, 1: 88, 2: 0, 3: 1, 4: 3, 5: 2, 6: 11, 7: 3, 8: 2, 9: 2, 10: 4})
42  | (289, 1.55,   {0: 0, 1: 156, 2: 88, 3: 45, 4: 0, 5: 0, 6: 0, 7: 0, 8: 0, 9: 1, 10: 0})
43  | (113, 1.44,   {0: 1, 1: 21, 2: 0, 3: 85, 4: 1, 5: 1, 6: 26, 7: 3, 8: 2, 9: 6, 10: 1})
44  | (221, 1.66,   {0: 0, 1: 147, 2: 34, 3: 45, 4: 44, 5: 0, 6: 0, 7: 0, 8: 3, 9: 0, 10: 1})
45  | (285, 1.93,   {0: 90, 1: 99, 2: 0, 3: 0, 4: 0, 5: 96, 6: 0, 7: 1, 8: 0, 9: 1, 10: 0})
46  | (246, 1.60,   {0: 31, 1: 51, 2: 72, 3: 90, 4: 0, 5: 2, 6: 2, 7: 0, 8: 2, 9: 0, 10: 0})
47  | (284, 2.71,   {0: 104, 1: 0, 2: 0, 3: 0, 4: 87, 5: 94, 6: 0, 7: 0, 8: 3, 9: 0, 10: 1})
48  | (286, 2.48,   {0: 99, 1: 32, 2: 0, 3: 0, 4: 61, 5: 95, 6: 0, 7: 0, 8: 1, 9: 0, 10: 1})
49  | (216, 1.14,   {0: 13, 1: 106, 2: 97, 3: 0, 4: 0, 5: 0, 6: 2, 7: 1, 8: 4, 9: 3, 10: 0})
50  | (257, 2.16,   {0: 56, 1: 0, 2: 44, 3: 98, 4: 49, 5: 0, 6: 7, 7: 1, 8: 3, 9: 3, 10: 0})
51  | (269, 2.04,   {0: 85, 1: 78, 2: 0, 3: 0, 4: 0, 5: 105, 6: 1, 7: 0, 8: 1, 9: 1, 10: 1})
52  | (289, 2.30,   {0: 92, 1: 44, 2: 0, 3: 59, 4: 0, 5: 94, 6: 0, 7: 1, 8: 0, 9: 0, 10: 0})
53  | (38, 0.76,    {0: 0, 1: 5, 2: 0, 3: 0, 4: 5, 5: 3, 6: 39, 7: 4, 8: 2, 9: 0, 10: 7})
54  | (272, 1.84,   {0: 103, 1: 29, 2: 39, 3: 0, 4: 62, 5: 39, 6: 0, 7: 0, 8: 3, 9: 0, 10: 2})
55  | (280, 2.15,   {0: 96, 1: 0, 2: 91, 3: 0, 4: 0, 5: 93, 6: 0, 7: 2, 8: 0, 9: 0, 10: 0})
56  | (131, 1.45,   {0: 0, 1: 135, 2: 0, 3: 44, 4: 1, 5: 1, 6: 39, 7: 3, 8: 0, 9: 2, 10: 2})
57  | (218, 3.60,   {0: 0, 1: 0, 2: 0, 3: 0, 4: 93, 5: 55, 6: 65, 7: 0, 8: 6, 9: 3, 10: 0})
58  | (148, 0.72,   {0: 97, 1: 22, 2: 26, 3: 3, 4: 49, 5: 1, 6: 0, 7: 0, 8: 3, 9: 3, 10: 2})
59  | (282, 2.80,   {0: 0, 1: 92, 2: 0, 3: 102, 4: 0, 5: 87, 6: 0, 7: 0, 8: 1, 9: 2, 10: 1})
60  | (272, 1.69,   {0: 94, 1: 54, 2: 46, 3: 0, 4: 44, 5: 30, 6: 0, 7: 0, 8: 6, 9: 1, 10: 0})
61  | (254, 2.90,   {0: 0, 1: 54, 2: 32, 3: 57, 4: 0, 5: 84, 6: 28, 7: 0, 8: 1, 9: 0, 10: 0})
62  | (261, 2.20,   {0: 0, 1: 39, 2: 97, 3: 76, 4: 48, 5: 1, 6: 0, 7: 0, 8: 1, 9: 0, 10: 2})
63  | (213, 2.57,   {0: 0, 1: 59, 2: 19, 3: 0, 4: 62, 5: 94, 6: 0, 7: 1, 8: 2, 9: 2, 10: 2})
64  | (238, 2.83,   {0: 35, 1: 0, 2: 0, 3: 48, 4: 73, 5: 82, 6: 1, 7: 0, 8: 1, 9: 2, 10: 3})
65  | (273, 2.76,   {0: 0, 1: 0, 2: 85, 3: 97, 4: 90, 5: 0, 6: 0, 7: 0, 8: 1, 9: 2, 10: 0})
